Date,Service,Cost (USD)
2025-01-20,AWS Backup,14.1832510823
2025-01-20,AWS CloudTrail,7.3004559
2025-01-20,AWS Cost Explorer,2.2816317129
2025-01-20,AWS Global Accelerator,1.9924105506
2025-01-20,AWS Glue,0.0184020628
2025-01-20,AWS Key Management Service,0.7183746936
2025-01-20,AWS Lambda,0.9014628506
2025-01-20,AWS Secrets Manager,0.9992038024
2025-01-20,AWS Step Functions,7.5123229566
2025-01-20,AWS Systems Manager,70.744884
2025-01-20,AWS WAF,0.3212903184
2025-01-20,Amazon API Gateway,43.7653338139
2025-01-20,Amazon Athena,0.36817555
2025-01-20,Amazon Bedrock,0.0000008466
2025-01-20,Amazon CloudFront,0.0133028675
2025-01-20,Amazon Connect,0
2025-01-20,Amazon DevOps Guru,0
2025-01-20,Amazon DynamoDB,0.2417616361
2025-01-20,Amazon EC2 Container Registry (ECR),6.9950710719
2025-01-20,EC2 - Other,4936.5942370196
2025-01-20,Amazon Elastic Compute Cloud - Compute,2765.799727793
2025-01-20,Amazon Elastic Container Registry Public,0
2025-01-20,Amazon Elastic Container Service,1.8990343316
2025-01-20,Amazon Elastic Container Service for Kubernetes,75.0437977967
2025-01-20,Amazon Elastic File System,130.234483785
2025-01-20,Amazon Elastic Load Balancing,299.7737606358
2025-01-20,Amazon Kinesis Firehose,0.0000071372
2025-01-20,Amazon Location Service,0.000074285
2025-01-20,Amazon Polly,0.839628
2025-01-20,Amazon QuickSight,2.1498761808
2025-01-20,Amazon Relational Database Service,21.7201747996
2025-01-20,Amazon Route 53,0.022538152
2025-01-20,Amazon SageMaker,0.996
2025-01-20,Amazon Simple Email Service,0.0643497056
2025-01-20,Amazon Simple Notification Service,0.0000002119
2025-01-20,Amazon Simple Queue Service,0.1904911752
2025-01-20,Amazon Simple Storage Service,486.2350749631
2025-01-20,Amazon Virtual Private Cloud,110.3827546602
2025-01-20,AmazonCloudWatch,150.2529804332
2025-01-20,CloudWatch Events,0.1985110254
2025-01-20,"Contact Center Telecommunications (service sold by AMCS, LLC)",0
2025-01-20,Savings Plans for AWS Compute usage,996
